# E_center N_initial N_final
   1.056626019622924E-13           10            0
   3.169878042778814E-13            0            0
   5.283130065934704E-13            0            0
   7.396382089090594E-13            0            0
   9.509634112246484E-13            0            0
   1.162288613540237E-12            0            0
   1.373613815855826E-12            0            0
   1.584939018171415E-12            0            0
   1.796264220487004E-12            0            0
   2.007589422802593E-12            0            0
   2.218914625118182E-12            0            0
   2.430239827433771E-12            0            0
   2.641565029749360E-12            0            0
   2.852890232064949E-12            0            0
   3.064215434380538E-12            0            0
   3.275540636696127E-12            0            0
   3.486865839011716E-12            0            0
   3.698191041327305E-12            0            0
   3.909516243642894E-12            0            0
   4.120841445958483E-12            0            0
   4.332166648274072E-12            0            0
   4.543491850589661E-12            0            0
   4.754817052905250E-12            0            0
   4.966142255220839E-12            0            0
   5.177467457536428E-12            0            0
   5.388792659852016E-12            0            0
   5.600117862167606E-12            0            0
   5.811443064483195E-12            0            0
   6.022768266798784E-12            0            0
   6.234093469114373E-12            0            0
   6.445418671429961E-12            0            0
   6.656743873745550E-12            0            0
   6.868069076061140E-12            0            0
   7.079394278376729E-12            0            0
   7.290719480692317E-12            0            0
   7.502044683007907E-12            0            0
   7.713369885323496E-12            0            0
   7.924695087639084E-12            0            0
   8.136020289954674E-12            0            0
   8.347345492270262E-12            0            0
   8.558670694585852E-12            0            0
   8.769995896901440E-12            0            0
   8.981321099217029E-12            0            0
   9.192646301532619E-12            0            0
   9.403971503848207E-12            0            0
   9.615296706163797E-12            0            0
   9.826621908479385E-12            0            0
   1.003794711079497E-11            0            0
   1.024927231311056E-11            0            0
   1.046059751542615E-11            0            0
   1.067192271774174E-11            0            0
   1.088324792005733E-11            0            0
   1.109457312237292E-11            0            0
   1.130589832468851E-11            0            0
   1.151722352700410E-11            0            0
   1.172854872931969E-11            0            0
   1.193987393163527E-11            0            0
   1.215119913395086E-11            0            0
   1.236252433626645E-11            0            0
   1.257384953858204E-11            0            0
   1.278517474089763E-11            0            0
   1.299649994321322E-11            0            0
   1.320782514552881E-11            0            0
   1.341915034784440E-11            0            0
   1.363047555015999E-11            0            0
   1.384180075247558E-11            0            0
   1.405312595479117E-11            0            0
   1.426445115710675E-11            0            0
   1.447577635942234E-11            0            0
   1.468710156173793E-11            0            0
   1.489842676405352E-11            0            0
   1.510975196636911E-11            0            0
   1.532107716868470E-11            0            0
   1.553240237100029E-11            0            0
   1.574372757331588E-11            0            0
   1.595505277563147E-11            0            0
   1.616637797794706E-11            0            0
   1.637770318026264E-11            0            0
   1.658902838257823E-11            0            0
   1.680035358489382E-11            0           10
