# id E_initial E_final active
         1    5.963332072775654E-21    1.690446356614866E-11 T
         2    1.012488317786971E-20    1.690513949649753E-11 T
         3    8.025415705466468E-21    1.690407536095057E-11 T
         4    1.736360388427732E-20    1.690412708519443E-11 T
         5    8.044979430208614E-22    1.690479544478725E-11 T
         6    3.112670605361905E-20    1.690601618605162E-11 T
         7    8.756857361621325E-21    1.690508455542217E-11 T
         8    6.297697611339944E-21    1.690400608248422E-11 T
         9    1.139529623489201E-20    1.690489585725294E-11 T
        10    5.334628179046868E-21    1.690471130490336E-11 T
