# id x y z vpar mu active
         1    4.653095143981547E-01    5.004468734571487E-01    2.690139264263955E-01    3.365975014520882E-01    8.069762706787292E-01 T
         2    3.691231075036122E-01    1.827742877510452E-03    3.796016586014358E-01   -1.062344299943614E+00    9.020241229894831E-01 T
         3    9.153679861213670E-02    2.625004972001944E-01    2.755102492778140E-03   -1.275377222906759E+00    2.576807436386477E-01 T
         4    5.103519458656575E-01    2.261186599425465E-01    3.331371829509431E-01    2.914351482711328E-01    1.869211761292626E-01 T
         5    1.338791610118566E-01    2.361265101543931E-01    9.548968482022061E-01   -1.187450051989441E+00    1.167858765241050E+00 T
         6    8.874557994559892E-01    7.772046686940594E-01    4.798603357881806E-01    1.583679224037147E+00    1.576843301807308E-02 T
         7    5.151888115363379E-03    8.233441762731651E-01    6.360699732251760E-01   -1.086115941077271E+00    1.792671813861832E+00 T
         8    5.330245004703945E-01    9.896039712212444E-01    1.302957770905291E-01   -1.335731767185428E+00    2.148032232316789E-01 T
         9    3.664707033359271E-01    3.303611610515688E-01    2.612042251827665E-02    1.391950134673236E+00    1.309233746236705E+00 T
        10    7.911378861975332E-01    8.017145866279221E-01    3.736882558447839E-01    6.088186208348940E-01    7.395053245140939E-01 T
        11    6.636612084191950E-01    4.376650345024076E-01    5.388542325683965E-02   -1.129001434071408E+00    6.898157952965882E-01 T
        12    1.842344518261645E-01    8.389039504828069E-01    4.905988831352115E-01   -3.962176704793702E-01    7.671449461079580E-01 T
        13    1.803411534676387E-01    1.039637579263629E-01    1.875133484205906E-01    1.737772156617795E-01    3.225556756056998E-01 T
        14    9.255006038270366E-01    4.328179078329176E-01    2.442002236599944E-01   -3.225219928032202E-01    4.352004856272170E-01 T
        15    4.699732857375671E-02    8.714183258785659E-01    3.950690493335347E-01   -9.622429985947131E-01    8.788929039948006E-02 T
        16    3.558988466046594E-01    3.564446535727606E-01    1.651936143350041E-01    1.279576426693818E-02    2.713891446023116E-01 T
        17    9.394227816264052E-01    9.335227444230595E-01    5.773393715945684E-01    2.424740607963284E-02    5.026256412789859E-01 T
