x y z Bx By Bz Ex Ey Ez
-1.000000e+01 -9.354839e+00 -4.193548e+00 2.088309e-01 1.953580e-01 -2.528772e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.548387e+00 1.879371e-01 1.758121e-01 -2.865903e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.903226e+00 1.620633e-01 1.516076e-01 -3.175434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -2.258065e+00 1.315679e-01 1.230797e-01 -3.443806e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -1.612903e+00 9.709384e-02 9.082972e-02 -3.658245e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -9.677419e-01 5.955156e-02 5.570953e-02 -3.807885e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 -3.225806e-01 2.007145e-02 1.877652e-02 -3.884796e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.225806e-01 -2.007145e-02 -1.877652e-02 -3.884796e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.677419e-01 -5.955156e-02 -5.570953e-02 -3.807885e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.612903e+00 -9.709384e-02 -9.082972e-02 -3.658245e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.258065e+00 -1.315679e-01 -1.230797e-01 -3.443806e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 2.903226e+00 -1.620633e-01 -1.516076e-01 -3.175434e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 3.548387e+00 -1.879371e-01 -1.758121e-01 -2.865903e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.193548e+00 -2.088309e-01 -1.953580e-01 -2.528772e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 4.838710e+00 -2.246596e-01 -2.101654e-01 -2.177346e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 5.483871e+00 -2.355764e-01 -2.203780e-01 -1.823818e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.129032e+00 -2.419248e-01 -2.263167e-01 -1.478657e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 6.774194e+00 -2.441823e-01 -2.284286e-01 -1.150270e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 7.419355e+00 -2.429071e-01 -2.272357e-01 -8.448942e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.064516e+00 -2.386897e-01 -2.232903e-01 -5.666954e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 8.709677e+00 -2.321140e-01 -2.171389e-01 -3.179898e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 9.354839e+00 -2.237294e-01 -2.092953e-01 -9.954592e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -9.354839e+00 1.000000e+01 -2.140314e-01 -2.002229e-01 8.908695e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -1.000000e+01 2.373588e-01 2.067319e-01 1.910068e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -9.354839e+00 2.493077e-01 2.171389e-01 -7.395120e-04 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -8.709677e+00 2.599214e-01 2.263832e-01 -2.401505e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -8.064516e+00 2.686152e-01 2.339552e-01 -5.083470e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -7.419355e+00 2.747278e-01 2.392791e-01 -8.117250e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -6.774194e+00 2.775420e-01 2.417301e-01 -1.148254e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -6.129032e+00 2.763169e-01 2.406631e-01 -1.513723e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -5.483871e+00 2.703351e-01 2.354532e-01 -1.901408e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -4.838710e+00 2.589628e-01 2.255482e-01 -2.301891e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -4.193548e+00 2.417202e-01 2.105305e-01 -2.703107e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -3.548387e+00 2.183557e-01 1.901808e-01 -3.090705e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -2.903226e+00 1.889140e-01 1.645380e-01 -3.448753e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -2.258065e+00 1.537861e-01 1.339427e-01 -3.760791e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -1.612903e+00 1.137307e-01 9.905577e-02 -4.011147e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -9.677419e-01 6.985634e-02 6.084262e-02 -4.186373e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 -3.225806e-01 2.356183e-02 2.052159e-02 -4.276599e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 3.225806e-01 -2.356183e-02 -2.052159e-02 -4.276599e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 9.677419e-01 -6.985634e-02 -6.084262e-02 -4.186373e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 1.612903e+00 -1.137307e-01 -9.905577e-02 -4.011147e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 2.258065e+00 -1.537861e-01 -1.339427e-01 -3.760791e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 2.903226e+00 -1.889140e-01 -1.645380e-01 -3.448753e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 3.548387e+00 -2.183557e-01 -1.901808e-01 -3.090705e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 4.193548e+00 -2.417202e-01 -2.105305e-01 -2.703107e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 4.838710e+00 -2.589628e-01 -2.255482e-01 -2.301891e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 5.483871e+00 -2.703351e-01 -2.354532e-01 -1.901408e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 6.129032e+00 -2.763169e-01 -2.406631e-01 -1.513723e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 6.774194e+00 -2.775420e-01 -2.417301e-01 -1.148254e-01 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 7.419355e+00 -2.747278e-01 -2.392791e-01 -8.117250e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 8.064516e+00 -2.686152e-01 -2.339552e-01 -5.083470e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 8.709677e+00 -2.599214e-01 -2.263832e-01 -2.401505e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 9.354839e+00 -2.493077e-01 -2.171389e-01 -7.395120e-04 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.709677e+00 1.000000e+01 -2.373588e-01 -2.067319e-01 1.910068e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -1.000000e+01 2.623357e-01 2.115610e-01 3.057398e-02 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -9.354839e+00 2.768800e-01 2.232903e-01 9.855572e-03 0.000000e+00 0.000000e+00 0.000000e+00
-1.000000e+01 -8.064516e+00 -8.709677e+00 2.901044e-01 2.339552e-01 -1.478828e-02 0.000000e+00 0.000000e+00 0.000000e+00
